novel_title,novel_genre,novel_writer,novel_img,novel_content,platform_ridi,나눔
나쁜 패를 잡고 시작합니다!,romancefantasy,척지,https://img.ridicdn.net/cover/2093077305/xxlarge?dpi=xxhdpi#1,"<나쁜 패를 잡고 시작합니다!>
돈도, 작위도, 심지어 악역인지조차도 애매한 원작 소설의 엑스트라로 빙의했다.
놀랄 만큼 아무런 밑천이 없는 원작 주인공과, 놀랄 만큼 이 세계에서 먹힐 만한 능력이 없는 나.
가진 것도 없이 빈털터리로 살아가기엔 삶이 너무 피로하다.
내가 바라는 건 오로지 무사히 이 소설 속을 탈출하는 것뿐.

진상스러운 공작가도, 쎄한 황태자도, 문란한 이국의 귀족도 다 필요 없다.

“XX, 제발 내보내 줘!”

그렇게 현실로 돌아가기 위해 아카데미에서 고군분투하는 와중, 탈주를 자꾸만 망설이게 만드는 한 사람을 만난다.",https://ridibooks.com/books/2093076052?_rdt_sid=category_6050&_rdt_idx=0,나눔
시한부 공주님을 사랑하게 된다면,romancefantasy,전후치,https://img.ridicdn.net/cover/809031812/xxlarge?dpi=xxhdpi#1,"<시한부 공주님을 사랑하게 된다면>
#판타지물 #서양풍 #모험물 #시한부공주님 #기사남주 #용병남주 #갑을관계 #신분차이 #운명적사랑 #능력남 #짝사랑남 #존댓말남 #대형견남 #능력녀 #능글녀 #외유내강녀 #쾌활발랄녀 #이야기중심

정확히 다섯 번의 고열을 겪으면 죽는다는 테트라 열병에 걸린 키로나.
두 번째 열병을 겪은 후, 공주 신분을 숨긴 채
‘나달린의 꽃’을 찾으러 마물이 득실거리는 동부로 향한다.

마물 지대에서도 가장 위험한 정중앙부, 나비미 숲에서
바실리스크에게 쫓기던 용병을 구해 준 키로나는
결박된 채로 눈을 뜨게 되는데…….

“목숨을 살려 준 은인의 목에 칼을 대는 게 동부의 전통이니?”
“그래, 잘 아네. 동부에서는 먼저 죽이지 않으면 죽게 되지.”

사랑 때문에 망해 버린 이클립스 가문의 막내아들 제이드 이클립스.
돈이면 뭐든 할 것 같은 그가 키로나는 마음에 들었다.

“너 남은 빚이 얼마야?”
“내가 아가씨를 풀어 주면 그 빚 갚아 주기라도 하게?”

눈앞에 제국의 공주님이 있다고는 꿈에도 상상하지 못하는
제이드 이클립스를 향해 키로나가 싱글싱글 웃으며 말했다.

“운 좋은 줄 알아, 납치범 새끼야. 제국에 나만 한 고용주가 어디 있겠니?”",https://ridibooks.com/books/809031812?_rdt_sid=category_6050&_rdt_idx=0,나눔
루시어스,romancefantasy,박샛별,https://img.ridicdn.net/cover/211031773/xxlarge?dpi=xxhdpi#1,"<루시어스>
* 키워드 : 판타지물, 서양풍, 왕족/귀족, 남장여자, 역하렘, 군대물, 복수, 기억상실, 권선징악, 재회물, 소유욕/독점욕/질투, 뇌섹남, 능력남, 계략남, 다정남, 절륜남, 집착남, 상처남, 짝사랑남, 순정남, 순진남, 냉정남, 무심남, 카리스마남, 존댓말남, 대형견남, 능력녀, 직진녀, 다정녀, 외유내강, 걸크러시, 성장물


티그리스의 정복왕, 루시어스.
그녀에게는 ‘들개들’이라고 하는
충성스러운 네 명의 부하들이 있었다.

하지만 그중에서도 루시어스의 연인으로서
밤을 허락받은 것은 클로드 리데르흐 공작뿐이었다.

“하도 남들이 들개라고 떠드니 진짜 네가 개새끼가 된 줄 알아?”

“개가 개처럼 구는 게 이상한 일은 아니죠.”

클로드는 어릴 적, 루시어스가 목숨을 구해 주었기에
재회한 이후 늘 루시어스의 뒤를 살피며
숨은 조력자가 되어 그녀를 도와준다.

루시어스는 그런 클로드가 의뭉스러우면서도
점차 그에게 마음을 주게 되고,
조력자에서 그녀의 연인이 된 클로드는
서서히 소유욕을 드러내기 시작하는데…….

“어둠이 물러가기 전까지 당신은 온전히 내 것이야. 당신을 양보할 생각은 없어.”


▶잠깐 맛보기

“루시.”

그가 달콤하게 속삭였다.

“내가 인내심이 많다는 것을 다행으로 생각해.”

“양심도 없군.”

기막혀하는 루시어스의 반응에도 아랑곳하지 않고 그가 덧붙였다.

“그렇지 않았으면 널 진작 나만 찾을 수 있는 곳에 가둬 버렸을 거야.”

“취향 참 더러워.”

“그래서, 날 선택한 걸 후회해?”

“내 취향도 그리 좋지만은 않아서.”

루시어스가 몸을 돌려 남자와 마주 봤다. 남자의 자수정 같은 눈동자가 그녀를 집요하게 쫓았다. 대륙에서는 드문 색이라서 혹자들은 불길하다며 수군대기도 했다. 격렬해지는 감정에 비례해 보라색이 더욱 짙어졌다. 루시어스는 이 눈을 볼 때면 어쩔 수 없이 마음이 약해졌다.

“이리 와.”

그녀가 남자의 목을 팔로 감으며 끌어당겼다. 남자는 순순히 끌려갔다. 루시어스는 얼굴이 아주 가까워질 때까지 그의 눈을 응시하다가 고개를 움직여 입술을 겹쳤다.

“얌전하게 굴면 얼마든지 예뻐해 줄 수 있어.”

루시어스는 오만한 표정으로 얘기했다. 누구보다도 잘 어울리는 모습이었다. 남자는 가슴속에서 치미는 희열에 입술을 비스듬히 올렸다.

“아직 이걸로는 부족한데.”

그가 입술을 포개며 나직이 속삭였다. 루시어스는 그의 어깨를 끌어안았다.

“부족해.”",https://ridibooks.com/books/211031773?_rdt_sid=category_6050&_rdt_idx=0,나눔
무덤가 소나무 숲의 고양이,romancefantasy,셀레네,https://img.ridicdn.net/cover/2378033240/xxlarge?dpi=xxhdpi#1,"<무덤가 소나무 숲의 고양이> 시체가 즐비한 무덤가 소나무 숲에 산다 하여, 도래솔이라 부른다.

벙어리 부모 아래서 태어나 말하는 법도 제대로 배우지 못한 어린 솔.
먼저 손을 내민 스승 연아정과 함께 이곳저곳을 떠돌며 살던 어느 날,
이상하리만치 컴컴한 동굴 속으로 굴러떨어진다.

한 줌의 빛도 들지 않는 곳.
어둡기만 한 암흑 속에서 번득인 짐승의 눈.

“그 입에 재갈이라도 물리면 조용해질까?”

선인을 연상시키는 새하얀 머리칼과 푸른 눈동자.
사내는 자신을 묘, 라 소개한다.

스승의 오랜 친구라는 신비로운 그의 체온에 기대어
저를 찾는 이가 오기만을 기다리는 사이,
그들은 어느덧 서로의 곁에 머무르기를 바라게 되는데…….

*

묘는 서슴없이 도래솔을 꼭 끌어안았다. 
그리고 꽤 진지한 목소리로 말했다.

“할 말 있어.”

평소와는 조금 다른 목소리였다.
아주 약간 더 가라앉은 목소리였다. 
그는 진지한 얼굴로 도래솔을 향해 말했다.
천천히 아주 신중하게. 
꾹꾹 눌러 말하는 목소리가 도래솔의 신경을 잡아챘다.

“한 번, 단 한 번만 용서해.
아주 큰 잘못이라도 단 한 번만 용서하겠다고 약속해.”

묘한 기분에 도래솔은 고개를 들어 묘를 쳐다보았다.
푸른 눈이 도래솔을 바라보고 있었다.",https://ridibooks.com/books/2378033240?_rdt_sid=category_6050&_rdt_idx=0,나눔
성녀는 용사를 키우느라 바쁩니다,romancefantasy,넬라크,https://img.ridicdn.net/cover/3049027953/xxlarge?dpi=xxhdpi#1,"<성녀는 용사를 키우느라 바쁩니다> 하계올림픽 여자복싱 종목 금메달리스트, 이은혜.
시합을 앞두고 평소 즐겨하던 오토메 게임 [히어로 메이커] 속 성녀 ‘마리아 에스텔’에 빙의되고 만다. 

현실로 다시 돌아가기 위해서는 게임 속 능력캐 남주들을 하나하나 모아 마왕을 무찔러야 하는데.
문제는 이 빌어먹을 게임에 배드 엔딩밖에 없다는 것.

“어쩌면 기회일지도 몰라. 배드 엔딩 뿐이었던 결말을, 해피 엔딩으로 바꿀 기회.”

그런데, 일이 좀 꼬인 것 같다.

* * * 

“……비켜.”
“…….”
“비키라고 말했어, 알렌 이로아스.”

마왕성이 코앞에 있었다.
저곳에 가서 마왕을 쓰러트리기만 하면 이번에야말로 해피 엔딩을 보고 집에 돌아갈 수 있을 거라고. 그렇게 믿어 의심치 않았는데.......

“당신은 항상 그랬지. 늘 내게 힘든 선택을 하게 해.”
“지금 뭐 하자는 거야.”
“마리아 에스텔, 내가 바라는 건 단 하나야.”
“이 손 놔.”
“당신이 영원히 내 곁에 있어 주기만 하면 돼.”
“…….”

영원히.
그렇게 말하는 그의 눈빛은 그녀를 놓지 않겠다는 집념으로 가득 차 있었다.",https://ridibooks.com/books/3049027953?_rdt_sid=category_6050&_rdt_idx=0,나눔
"흑사자님, 저는 인간인데요!",romancefantasy,요굴,https://img.ridicdn.net/cover/2107088446/xxlarge?dpi=xxhdpi#1,"<흑사자님, 저는 인간인데요!>
판타지 소설 속 엑스트라에 빙의했다.
그것도 약 5년 뒤, 주인공의 손에 멸문지화 당하는 가문의 영애로.
어떻게든 해야지 싶었지만 문제는 이 영애가,

“먕! 먕먕!”

귀엽고 하찮은 소형견 수인이며 나는 수인화한 상태인 개에 빙의했다는 것이다.

‘인간으로 변하는 방법을 몰라! 도와줘!’

주인공을 막고 자시고 일단 인간으로 변하는 게 먼저다.
하지만 인간으로 변하는 방법을 찾다가 그만 주인공과 얽혀 버리고 마는데…….

“뭐지, 이 한 입 거리도 안 되는 건.”
“먀…… 먕먕.”
“간식인가?”
“꺙! 먕!”

흑사자님, 저는 인간인데요!?",https://ridibooks.com/books/2107088446?_rdt_sid=category_6050&_rdt_idx=0,나눔
공주님은 공략을 거부합니다,romancefantasy,사가나,https://img.ridicdn.net/cover/2057210282/xxlarge?dpi=xxhdpi#1,"<공주님은 공략을 거부합니다>
여성향 게임 <코코아 로드> 속 악역 미엘 카쟌이 되었다.
신 하사크는 남주인공 시오 그란데를 공략하면 원래 세계로 돌아갈 수 있다고 말한다.

그러나 실패, 실패, 실패.
벌써 7번이나 시작 지점으로 회귀했다.
결국 남자 주인공을 공략하기보다 다른 방법을 찾고자 하는데……..

“좋습니다.”

시오가 약혼을 받아들이고,

“나는 너를 지킬 거야.”

신 하사크는 나를 지킨다고 말한다.

아뇨. 주인공, 거부합니다.
시한폭탄, 당연히 거부합니다.
게임, 무조건 거부합니다.

“게임 따위 거부하겠어.”

나 공략 안 한다고!",https://ridibooks.com/books/2057210282?_rdt_sid=category_6050&_rdt_idx=0,나눔
이 중매는 뭔가 잘못되었다,romancefantasy,성가희,https://img.ridicdn.net/cover/2107053389/xxlarge?dpi=xxhdpi#1,"<이 중매는 뭔가 잘못되었다>
전생의 기억으로 귀족 중매 업체 ‘허니문’을 세워
대박을 터트린 오필리아.

그녀는 사실 소설 속 세계에 빙의한 상태다.
설명 한 줄로 그치는, 그저 엑스트라에 불과하다.

“리카르도 에르도안…?”
“나를 아는가?”
“남주가 대체 왜 내 앞에…”
“뭐라고?”

여주와 만나야 할 그가 중매 업체는 왜 찾아온 걸까.

“그 반지, 별로군.”
“제 남편의 취향이에요.”

우두둑.

게다가 위장 결혼한 오필리아의 남편을 궁금해한다.
사업차 남편을 보자고 하는데…

“남편 대역?”
“그래. 적당한 사람 알아?”
“응. 알아.”

소꿉친구이자 괴짜 마법사인 엘렌이
남편 대역을 하겠다고 나서고,
불안함이 가득한 상태에서 두 사람이 만나게 되는데…

“어차피 우린 부부니까 볼 거 다 본 사이잖아?”
“볼 걸 다 본 사이?”

이 미친놈아!

둘 사이에서 불꽃이 튀는 게 느껴지는 건 내 착각이겠지?
오필리아는 과연, 평탄하게 ‘허니문’을 이끌어갈 수 있을까?",https://ridibooks.com/books/2107053389?_rdt_sid=category_6050&_rdt_idx=0,나눔
마녀의 아들을 지키는 이유,romancefantasy,연려하,https://img.ridicdn.net/cover/2057132428/xxlarge?dpi=xxhdpi#1,"<마녀의 아들을 지키는 이유> 수많은 사람을 학살하고 왕도를 멸망시킨 마녀.
엘레인은 그 마녀와 가족이나 다름없는 사이였다.

그러나 비극이 일어난 그 밤.
엘레인은 모든 것을 잃고 20년 뒤의 세상에서 눈을 뜬다.
가슴에 마녀의 심장을 지닌 채로.

'그이와 나의 아이...... 리히를, 지켜줘.'

마녀의 마지막 부탁.
그것을 지키기 위해 리히스트를 찾아가지만,
어리고 순수했던 아이는 시리도록 차갑고 냉정한 남자가 되어 있었다.

보라색 눈동자가 건조하게 그녀를 응시했다.

""엘레인 경이라고 했나.""
""충고하는데, 그만두는 게 좋을 거야.""

그러나 엘레인은 약속을 지키기 위해, 또 복수를 위해 검을 뽑아 든다. 
그런 엘레인 앞에 마녀의 죽음에 얽힌 진실이 드러나기 시작하는데…….

***

리히스트의 눈동자에 언뜻 짜증이 어렸다.

“엘레인 경, 지금 이게 뭐 하는 거지?”
“아, 그게, 뚜껑이 날카로워 보여서요.""
“……뚜껑 정도는 내가 열 수 있다.”

그들 주변에 있던 기사들의 얼굴이 경악으로 물들었다.
왕국의 제일 가는 기사이며, 날카로운 칼날 같은 킬리어드의 공작을, 저렇듯 물가에 내놓은 어린애처럼 취급하다니.
기사들은 한마음으로 생각했다.

'저 여자, 보통이 아니다!'",https://ridibooks.com/books/2057132428?_rdt_sid=category_6050&_rdt_idx=0,나눔
나무를 담벼락에 끌고 들어가지 말라 3부,romancefantasy,윤진아,https://img.ridicdn.net/cover/777033613/xxlarge?dpi=xxhdpi#1,"<나무를 담벼락에 끌고 들어가지 말라 3부>
복수의 이유는 결코 하나가 아닌 여럿이다
그리고 그 방법 또한 굳이 한 가지일 필요는 없다

“내 증오의 시작은 열일곱 그날의 너고 내 증오의 끝은 아델이 죽은 그날의 너야. 난 그 자리에서 계속 맴돌고 있어.”

전장의 한복판에서 자신을 적국의 왕비라 칭하는 여인이 나타난다. 적국의 군사 기밀을 고해바친 그 여인의 청은 단 하나, 적국의 왕을 죽여 달라는 것. 누구도 그녀가 자신의 나라를 배반한 이유를 헤아리지 못하는 상황 속에서 왕관보다 차라리 단두대를 선택하겠다는 그녀의 각오는 여전히 미심쩍을 뿐이다. 하지만 그녀에게서 배어 나오는 속은 진심처럼, 그리고 그녀가 말한 군사 기밀은 거짓 없는 진실처럼 보인다.
무엇이, 그리고 어디까지가 진실이고 거짓인지 판단할 수 없는 상황 속에서 여인의 정체를 의심하던 총사령관까지 설득당하기 시작하는데…….

“내가 네게 한 다디단 말들은 그 자체로 내 증오의 깊이다.”
“너를 미친 듯 증오해.”",https://ridibooks.com/books/777033613?_rdt_sid=category_6050&_rdt_idx=0,나눔
Miserere Mei: 불쌍히 여기소서,romancefantasy,닷새datsae,https://img.ridicdn.net/cover/102109829/xxlarge?dpi=xxhdpi#1,"<Miserere Mei: 불쌍히 여기소서>


“기억하시오, 캐서린. 아이 하나면 된다오. 캐번디시의 혈통을 이은 아이 말이오.”
결혼 후 겨우 석 달, 남편이 죽었다. 가문의 혈통을 이은 아이를 낳아달라는 유언을 남기고.
그러나 캐서린은 캐번디시의 아이를 가질 수 없었다. 캐번디시에는, 그 혈통을 이은 남자가 남아 있지 않았다. 그렇다고 생각했다.
“처음 뵙겠습니다. 형수님.”
하지만 남편의 장례식 날, 존재조차 알지 못했던 남편의 이복동생 데이비드가 등장하고,
“관을, 관을 꺼내요!”
매장 직전, 남편인 사울이 기적처럼 되살아나며 기이한 일들이 벌어지기 시작하는데…….",https://ridibooks.com/books/102109829?_rdt_sid=category_6050&_rdt_idx=0,나눔
