novel_title,novel_genre,novel_writer,novel_img,novel_content,platform_kakao,나눔
마피아로 조선 독립,fantasy,LunStellar,https://dn-img-page.kakao.com/download/resource?kid=cllMDD/hzKkRJ2EQt/OU2hFQUxxi7V9FmuohDTik&filename=th3,"눈떠보니 청산리 대첩의 와중, 꿈인줄 알았었는데 지독히도 깨지를 않는다.

이제는 어쩔 수 없다. 이왕지사 이렇게 된거, 아메리칸 드림으로 조선을 독립시켜보자!",https://page.kakao.com/content/60737051?tab_type=about,나눔
나 혼자 이세계 게이머,fantasy,오탱이,https://dn-img-page.kakao.com/download/resource?kid=bgUXC7/hzwBhnw5TH/1rhVYIqVHTQwfotZyPOdy0&filename=th3,"겜판 속 로망! 내가 직접 체험하는 게임 세계! 완벽하고 아름다운 이세계의 로망을 충족시켜주는 갓겜!

 이 전무후무한 갓겜에서 난! 현실에서 꿈도 꿀 수 없는 경험을 하게 된다!

“어푸흑! 푸흑! 살려! 꼬르륵!”

 빠져 죽고!

“으아아! 기억한다! 네놈들 전부 기억한다아앍!”

 물려 죽고!

“하아, 빌어먹을 똥겜.”

 찍혀 죽고?!

“히, 히히, 모닥아… 난, 난 너만 있으면 돼…!”

 게다가 모닥불이랑 대화를 나눈다고…?

 어라? 내 로망, 어디로 갔지?",https://page.kakao.com/content/59177519?tab_type=about,나눔
장야여화,fantasy,커틀피쉬,https://dn-img-page.kakao.com/download/resource?kid=c40e1F/hyZIb0DzHx/uxTk1uxw2o66hV9XUKw1oK&filename=th3,"&lt;장야여화 : 기나긴 암흑 속의 잔 불꽃&gt;

「 멸망의 끝에서도 희망을 추적하라.
긴긴밤, 어둠에도 잠들지 않는 불꽃처럼. 」

구세계가 무너진 후, 전과는 다른 세상이 깨어난다.

혼란한 세상 속,
구세계 파괴 원인을 조사하기 위해 팀 하나가 꾸려지고…….

“우리는 여러 상황을 맞닥뜨리고, 또 다양한 적을 만나게 될 거야.”

진정한 신세계를 찾으려는 팀장 장목화부터 
인류를 구원하려는 각성자 성건우, 
황야를 누비던 유적 사냥꾼 출신 백새벽,
그저 안정된 삶을 꿈꾸는 용여홍까지.

그들은 함께 황야를 누비며
드디어 말로만 듣던 세상과 마주한다.

다시 같은 실수를 반복하지 않으려면, 
반드시 구세계가 무너진 원인을 찾아야 한다.

햇볕이 번지는 진정한 하늘 아래, 
구조팀원들은 진실을 움켜쥘 수 있을까.

원제: 长夜余火(장야여화)",https://page.kakao.com/content/60114503?tab_type=about,나눔
회귀 용사는 후회하지 않는다,fantasy,흙마법사,https://dn-img-page.kakao.com/download/resource?kid=jg8vU/hzab3LLY6S/f9OfLahc9PZMV4fdKw0Bjk&filename=th3,"[다섯이 모이면 그중 한 명은 쓰레기다.]
그 말은 틀렸다.
한 명이 아니라 네 명이 쓰레기다.

마왕과의 사투에서 처참하게 패배하고 회귀한 용사 위든.
꿈에도 원치 않았건만, 
또다시 성검의 주인이 되어버린 그는 생각했다.

‘내가 진 건 동료들 때문이다.’

동료를 바꿀 수 없다면, 
그들이 쓰레기가 된 원인을 없애버리면 그만이다.

그리하여.
이번 생은 후회하지 않으리라.",https://page.kakao.com/content/60402763?tab_type=about,나눔
회귀 용사는 후회하지 않는다,fantasy,흙마법사,https://dn-img-page.kakao.com/download/resource?kid=jg8vU/hzab3LLY6S/f9OfLahc9PZMV4fdKw0Bjk&filename=th3,"[다섯이 모이면 그중 한 명은 쓰레기다.]
그 말은 틀렸다.
한 명이 아니라 네 명이 쓰레기다.

마왕과의 사투에서 처참하게 패배하고 회귀한 용사 위든.
꿈에도 원치 않았건만, 
또다시 성검의 주인이 되어버린 그는 생각했다.

‘내가 진 건 동료들 때문이다.’

동료를 바꿀 수 없다면, 
그들이 쓰레기가 된 원인을 없애버리면 그만이다.

그리하여.
이번 생은 후회하지 않으리라.",https://page.kakao.com/content/60402763?tab_type=about,나눔
육아를 던전에서 하게 될 줄이야,fantasy,글로벌리,https://dn-img-page.kakao.com/download/resource?kid=ElEUr/hzKkSoIB23/D7xRnlpubGveRXj4V6U1AK&filename=th3,"""당신 딸이야. 이제 당신이 키워야 해. 날 썅년이라 욕해도 좋아.""
맑은 눈의 예쁜 아이가 날 보고 웃는다.
헌터 자격증과 권력. 모든 것을 잃었을 때.
갑자기 딸이 생겼다.
이름은 루다.
그래서 살아갈 이유도 생겨 버렸다.

최강 헌터 이자성의 처절한 육아생존기.
""하아... 폐급 던전이라도 뛰면 분윳값은 벌겠지.""",https://page.kakao.com/content/60248122?tab_type=about,나눔
아카데미의 천재 마검사,fantasy,멸종위기종,https://dn-img-page.kakao.com/download/resource?kid=bqV4dL/hzHNAw46bz/0mJTuYlgPwuPW02QxlbfD0&filename=th3,"[독점연재]

희생이라는 이름의 길 위에 세워진 동료들과의 5년.
암흑 교단은 해치웠으나, 그 의지까지는 막아내지 못하였다.
오히려 잘 됐지. 다시 해볼 기회가 생겼으니까.


지난 생애의 용사, 지난 생애의 동료들.

전부 다시 모아 이번에야말로 확실하게 해치운다.

 
단, 희생은 최소한으로.",https://page.kakao.com/content/60168615?tab_type=about,나눔
회귀해서 지존까지,fantasy,크레아,https://dn-img-page.kakao.com/download/resource?kid=bvwUSX/hyQ9L4ioh6/1qU2f5dCNK7K6DQWaQ8FFK&filename=th3,"[독점연재]

무림.

이야기 속에서나 회자되던 그 시대는 실존했었다.

그리고 무공이 부활하며 현대 무림의 시대가 도래했다.


""김도진. 천마가 되어라.""

감당하지 못할 불행에 짓눌리다 끝을 맞이했던 도진은 다시 주어진 기회를 붙잡았다.",https://page.kakao.com/content/56685771?tab_type=about,나눔
고양이로 군단을 만들게 됐습니다,fantasy,열시오분,https://dn-img-page.kakao.com/download/resource?kid=dsixcQ/hzMT3tVZHe/NbkyjN2xc2RjUF4IUOq71K&filename=th3,"하꼬방송 게임 스트리머 ‘끄엥’.
새로 시작한 게임에서 히든클래스 마왕군 군단장이 걸렸다.

&lt;휘하 군단의 종족을 선택해 주세요.&gt;
1. 랑족
2. 호족
3. 묘족
.
.
그런데 고양이에 정신 팔려 묘족 카드를 놓는 걸 깜박했다.

&lt;제한 시간 초과로 인해 마지막으로 손에 들고 있던 카드가 선택됩니다.&gt;
&lt;첫 번째 종족으로 묘족을 선택했습니다. 묘족이 수인군단장 끄엥의 군단에 편입됩니다.&gt;

“안 돼―!!!”",https://page.kakao.com/content/60710172?tab_type=about,나눔
환생잡이,fantasy,임영기,https://dn-img-page.kakao.com/download/resource?kid=bQLafw/hzN2hc2ZmG/dNKVUuQ7udvvKRjfhzOJi1&filename=th3,"꿈 속에서 낮선 장소에서 눈을 뜨게 된 현우.
그곳에서 초인이 된 현우는 한 여인을 구하고 꿈에서 깨어난다.

그런데 꿈속에서 구해낸 여자가 현실로 찾아와 자신을 천존이라 부르는데…….

“역시 제 눈이 틀림없었어요. 당신은 천존이었어요.”

세상을 어지럽히는 환생자들을 붙잡는 환생잡이들의 왕 '천존' !
자신의 사명을 깨친 현우의 눈부신 활약이 펼쳐진다!",https://page.kakao.com/content/60608236?tab_type=about,나눔
사령명가의 무한스킬 플레이어,fantasy,대왕생,https://dn-img-page.kakao.com/download/resource?kid=ba9pSJ/hyRyNmYNID/eHhJK5CWOl1Uiq34aCSML1&filename=th3,"죽은 자를 다스리는 사령술사들의 가문.
가문의 짐짝, 칼리드 발데아로 빙의했다.

[스킬: 최상급 사령술을 획득합니다.]

그런데… 스킬이 무한대로 생겨나기 시작했다?",https://page.kakao.com/content/60725573?tab_type=about,나눔
행운빨로 레벨업,fantasy,글포터,https://dn-img-page.kakao.com/download/resource?kid=bcDDrN/hzMT74xKzm/otBTd29CWWi0fO0GGb7IV0&filename=th3,"어렸을 때부터 행운을 보는 능력을 타고난 백현.
그가 가상현실 게임 월드 사가에 접속한 순간.

-띠링!
[행운의 무지개 스킬을 획득했습니다.]
[무지개의 색으로 운을 점쳐보세요. 운이 나쁠 수록 붉은색에 가깝고, 운이 좋을수록 보라색에 가깝습니다.]

운빨이 터져나오기 시작했다.",https://page.kakao.com/content/61145209?tab_type=about,나눔
미리보기 마법사의 던전 공략법,fantasy,Cadilet,https://dn-img-page.kakao.com/download/resource?kid=v0icj/hzN2e8Eb5t/gaksw9yIcKDFqzqgk19ua1&filename=th3,"""카르마를 얻어, 힘을 얻어, 승천해 신이 되겠다.""

허접한 마법밖에 다룰 수 없는 마법 실험용 노예 베텔.
그런 그에게 초월자로 승천할 수 있는 요람에 향할 기회가 주어진다.

""멈추지 말고, 앞으로 나아가라. 네 운명은 네가 만드는 것이다.""

#퓨전판타지 #성장물 #차원이동물 #마법사 #이능력 #비장함 #던전물 #탑등반물",https://page.kakao.com/content/61082749?tab_type=about,나눔
나 혼자 총알 무한,fantasy,by아말하,https://dn-img-page.kakao.com/download/resource?kid=dVJtVr/hzHNFj0ZDr/sLPMUh4uPCzKW2h95T2l9K&filename=th3,디펜스 게임 속 이방인이 되었다.,https://page.kakao.com/content/59937298?tab_type=about,나눔
공작가 넷째는 역대급 무공천재,fantasy,빅피쉬,https://dn-img-page.kakao.com/download/resource?kid=eo3Fb/hzKkYbeRql/SjKogx7dJU0sJxUfJqGks0&filename=th3,"공작가의 망나니, 아이젠.
투신 이강철이었던 전생을 각성한다!
""이번 생엔 전생에 못 이뤘던 생사경의 경지에 도달하겠다!""
더 이상 어중간한 망나니가 아닌
강자존의 논리에 따라 정점에 서려 하는
이강철, 아니, 아이젠 폰 그린우드의 이야기가 시작된다!",https://page.kakao.com/content/60405700?tab_type=about,나눔
눈 떠 보니 전장 한복판,fantasy,안재인,https://dn-img-page.kakao.com/download/resource?kid=bGF2q2/hyoXzQ3B6Z/j1x4pmbpPQoCWEsDwjxymK&filename=th3,"눈 떠 보니 전장 한복판이었다.
그것도 내가 즐겨 하던 게임 속...",https://page.kakao.com/content/60690619?tab_type=about,나눔
환생한 영웅은 빌런이 되었습니다,fantasy,뺘삐,https://dn-img-page.kakao.com/download/resource?kid=cSAIg/hzMUbToDyP/LlLPqWY6qclmgG17wSa5S1&filename=th3,"너무 강했기에, 세상을 위협할 수 있다는 이유로 믿었던 이들에게 배신당하고 말았다.
죽음의 순간, 마지막 특성인 환생을 통해 새 삶을 얻었지만.

'내가 빌런이라니, 내가 빌런이라니!'

하필이면 가장 혐오하던 빌런으로 환생하고 말았다.",https://page.kakao.com/content/61074673?tab_type=about,나눔
고양이는 감정사를 키운다,fantasy,단향목,https://dn-img-page.kakao.com/download/resource?kid=S2dQv/hzMT6jS4AQ/JyujpXnsSqImmygHLVVwwk&filename=th3,"유물 감정사 제이든 로스.
차원 너머 고향에 돌아가려면 환상의 유물을 찾아야 한다!

""그걸 어디서 어떻게 찾아!""
-나는 감정사의 고양이야. 내가 도와줄게.

사람보다 나은 일타강사 고양이 스승님과 함께하는
제이든 로스의 신비로운 감정 여행이 시작된다!",https://page.kakao.com/content/60822533?tab_type=about,나눔
왕자가 친구를 사귀는 방법,fantasy,은비한,https://dn-img-page.kakao.com/download/resource?kid=d3iG5S/hyoXySe7O8/hMXc2ZNFTS7oP0g7EtH8yK&filename=th3,"친구가 없는 외로운 왕자 리안(방년7세). 급기야 사고를 치고 만다. 
친구 사귀는 방법 : 1. 로드킬 2. 고백 3. 납치 4. 밥 주기",https://page.kakao.com/content/60818722?tab_type=about,나눔
퀘스트 생존일지,fantasy,지타,https://dn-img-page.kakao.com/download/resource?kid=Ti2JR/hzCtd1rBPp/Aazg4I29gWWT47dKOb0ii1&filename=th3,"[메인 퀘스트 도착!]
[널 위한 퀘스트]

갑작스레 생겨난 몬스터와 시스템.
아포칼립스에서 살아남아야 하는 이운.
그는 퀘스트의 노예다.",https://page.kakao.com/content/59951078?tab_type=about,나눔
귀환 첫날 아포칼립스가 열렸다,fantasy,편몽,https://dn-img-page.kakao.com/download/resource?kid=xnlBq/hzCthicNBO/EO6YLyYpN1GW78OFKo3zrK&filename=th3,"이세계에서 구르기를 200년. 이능력을 가지고 지구로 돌아왔다.
이제 맛있는 거나 먹으면서 꿀 빠는 인생을 살 줄 알았는데...",https://page.kakao.com/content/59837618?tab_type=about,나눔
"공작님, 회개해주세요!",fantasy,별볆볆별명,https://dn-img-page.kakao.com/download/resource?kid=cHHmei/hyQ9MCbD4C/ynGgSu6uRSJKUA3pAf6tY1&filename=th3,"소설 속 최종보스의 보좌관이 되었다.
소설의 결말 속에서 최종보스는 죽었지만 세상은 이미 개판이다.
그럼 애초에 최종보스가 엇나가지만 않으면 되잖아?
사람은 고쳐쓰는게 아니라지만 달리 방법도 없으니 최종보스를 고쳐쓰자.",https://page.kakao.com/content/52751057?tab_type=about,나눔
폭군으로 살어리랏다,fantasy,여령,https://dn-img-page.kakao.com/download/resource?kid=dXiv6/hzwBlDZjbm/IKAzgce5q3kZ5j04CFJsz0&filename=th3,"「역대급 만능 BJ」의 작가 여령,
그가 야심차게 선보이는 통쾌한 신작!

「폭군으로 살어리랏다」

만부부당(萬夫不當)한 무위를 지녔으며
만인(萬人)을 휘어잡는 카리스마를 지닌 영웅,
그러나 오만하여 만용을 부리다
비참한 최후를 맞이한 광군주(狂君主) 지한 오르흘

“내가 그 지한 오르흘이라고?”

압도적인 무력에 고인물의 전략이 더해진 순간,
대륙을 진동시키는 폭군의
새로운 역사가 기록된다!


표지 일러스트: SILA",https://page.kakao.com/content/59456607?tab_type=about,나눔
약먹는 천재마법사,fantasy,글근육,https://dn-img-page.kakao.com/download/resource?kid=dyK7GB/hyoXACl3DJ/my2Orvb59TY0NqNMzdvG81&filename=th3,"이번 버전에서는 또 어떤 컨셉으로 게임해 볼까?

극한의 자유도를 자랑하는 게임 'WORLD'.
이번 'ver.3.0'에서는 마법 재능에 모든 걸 몰빵한다!
모든 스텟은 마법 관련 스텟에 올인!
마법 재능을 높여주는 대신, 막대한 디메리트가 걸리는 특성들.

“허수아비, 불면증, 마나중독자, 과유불급도 추가하고, 재인박명……. 수명은 상관없겠지.”

하지만...... 그래선 안 되었다.

캐릭터 생성 후, 정신을 잃고 깨어난 몸은 자신이 직접 생성했던 허약한 육체를 가진 '레녹'이었다.
육체를 일시적으로 원상태로 되돌릴 수 있는 건, 싸구려 마약 담배로 인한 일시적 도핑뿐.

화려한 네온사인과 마천루 건물들. 그리고 그 사이에 펼쳐진 비열하고 비정한 거리가 공존하는 도시, 발칸.
그곳에서 레녹은 우선 살아남아야 한다.

'재능'만 충만한 마법사의 처절한 하드보일드 생존기.

&lt;약먹는 천재 마법사&gt;",https://page.kakao.com/content/56143162?tab_type=about,나눔
괴식식당,fantasy,메제드K,https://dn-img-page.kakao.com/download/resource?kid=dI6EYD/hyEdeZhyz9/utDsd3KzWvcb3goMJAKPL1&filename=th3,"이세계의 마왕을 무찌른 최강의 용사, 유승우.
40년 만에 지구로 귀환한 그는 이세계의 음식을 지구에 전파하기로 마음 먹었다.

“저희 음식은 맛없기로는 전 차원 최강인데도요?”
“그런 걸 나만 먹으면 억울하잖아.”

최강의 용사에서 최강최악의 밥집 사장으로 전직!
고기가 비명을 지르고 손님이 기절하는 '용사의 밥집'에 어서오세요!",https://page.kakao.com/content/55672614?tab_type=about,나눔
나 혼자 1원 상점,fantasy,긍정론적,https://dn-img-page.kakao.com/download/resource?kid=ciXfrQ/hzMT4sy5Gt/eGq8buk8DcM30NsePE9CH0&filename=th3,아이템을 1원에 판매하는 상점창이 생겼다.,https://page.kakao.com/content/60691594?tab_type=about,나눔
나 혼자만 마법 면역,fantasy,실렝,https://dn-img-page.kakao.com/download/resource?kid=j9mLA/hzKkUs8qhQ/v3mfvakupJPmvMQZS5WlxK&filename=th3,"[업적 달성 – 백 번의 인생을 산 자]
[당신은 100개의 캐릭터를 엔딩까지 이끌었습니다. 업적보상이 제공됩니다.]
[업적보상은…]

“내가 이래서 이걸 못 접는다니까.”

번쩍!

시작 버튼을 누르고 눈을 감았다 뜬 순간, 낯선 광산이 반겼다.
마나를 사용 못 하는 대신 마법 면역인 주인공이 펼치는 생존 모험기.",https://page.kakao.com/content/60625622?tab_type=about,나눔
페이크다 이것들아!,fantasy,페리도스,https://dn-img-page.kakao.com/download/resource?kid=bUzyZN/hzCtdmii0L/pItwKrrWrf5ALVJnD4tKL0&filename=th3,"세계 최고의 도둑, 니도.
그는 불가능이라고 여겨지던 던전에서 신화급 유물을 훔쳐 달아나던 중,
추격자에게 죽음을 맞이하고 말았다.

그리고 눈을 뜨니 평범한 농가의 갓난아기, 애스틴이 된 니도.
새로운 몸에 온전히 영혼을 깃들이기 위해서는 제물을 바쳐야 한다.

지금 이 몸으로 살아남기 위해.
죽기 전 못 이룬 도둑의 꿈을 이루기 위해!
세상을 누비는 애스틴의 이야기가 시작된다.",https://page.kakao.com/content/59737706?tab_type=about,나눔
방구석 대군주,fantasy,빈수박,https://dn-img-page.kakao.com/download/resource?kid=HPHDI/hyRyPebsX6/DWxkO2qJ7WkOB1JgKFjPVK&filename=th3,"[님들 나 각성함 ㄹㅇ]
이번에 나 소환사로 각성했는데, 내 소환수가 오크거든? 근데 이 새끼 너무 듬직하다니까?
혼자서 고블린 수십 마리도 쓸어 버리고, 트롤도 이기고, 오우거도 이겨버림.
근데 거기서 끝이 아님. 오크 부족 하나 접수해서 족장 자리 꿰찬 다음에 영역 넓히는 중임.
이미 근처 리자드맨 부락 몇 군데 쓸어버렸는데, 조만간 다른 오크 부족도 먹어서 통합할 듯?
아, 소환수 새로운 놈으로 하나 더 얻음. 이번엔 슬라임인데, 엄청 희귀한 슬라임이라 함. 능력도 개쩜ㅋㅋㅋㅋ

└말이 되는 소리를 지껄여라. 뭐? 오크 혼자서 고블린 수십 마리를 쓸고, 트롤도 잡고 한다고?
└이 새끼 어그로임. 한두 번 이러는 거 아님. 최근에 좀 뜸하더니만 어김없이 등장했네
└꿈속에서 각성한 듯. 나도 어제 꿈속에서 소드마스터로 각성해서 마물 새끼들 다 썰고 다녔다

“음.”
태형은 마우스를 쭉 내려 댓글을 전부 읽고는 흡족하게 고개를 끄덕였다.
“훌륭하구만.”

진짜로 방구석에서 대군주되는 이야기.",https://page.kakao.com/content/61077367?tab_type=about,나눔
이번 생은 딸을 키워봅니다,fantasy,웃음바다,https://dn-img-page.kakao.com/download/resource?kid=C0oTP/hzCs8rCVLr/WTJhSAstQC3zim0ghz0RPK&filename=th3,"반드시 17년 전으로 돌아오는 영원한 회귀의 저주.
필시 저주라고 생각할 수밖에 없는 상황 속에서
절망하던 나는 발견했다.

""응애…...! 응애…...!""

무한한 회귀라는 저주를 끊을 수 있는 열쇠.
영웅의 운명을 타고난 아기, 리제를.

처음에는 정을 주지 않겠노라고 다짐했지만,
어느 순간부터 리제는 나의 삶의 목적이 되어 있었다.

이제 영웅의 운명은 어찌되도 좋다.
그저 리제가 행복하기만을 바랄 뿐이다.
리제를 위해서라면 검술, 마법, 아티팩트, 뭐든지 해줄 수 있다.

나에겐 무한한 17년간의 기억이 있으니까.
초보 아빠지만 우리 딸은 무조건 최고로 키운다!",https://page.kakao.com/content/59624474?tab_type=about,나눔
이 나라를 없앨 예정인데요,fantasy,산지직송,https://dn-img-page.kakao.com/download/resource?kid=gq0ir/hzp2lRCfGX/qxIG9kKUaKCBTeQKSOGhe0&filename=th3,"신들도 골치 아파하는 최악의 해골마왕이 있었다.

“우리 일을 대신 해주면 인간으로 만들어주마.”

하지만 신들에게 사기 계약을 당하고 봉인당해버렸다.

“마왕도 사라졌으니 마족을 전부 없앱시다.”
“마족 퇴치도, 포교도, 우리 대신 소중한 &lt;성자&gt;에게 맡기죠.”
“시건방진 해골 마왕 놈은… 평생 고문하며 벌레 안에 가둬놓고요.”

분명히 그랬는데.

“어머나, 성자님. 일어나셨나요?”

성자가 되어버렸다?
그것도 신들을 먹여살리는 신성제국의 공작가 아들로?
그럼, 이 나라를 멸망시키면 신들도 같이 멸망하는 거 아냐?

“어머, 아기 성자님이 왜 이렇게 기분이 좋으시지?”
“성자님, 여기 증오스러운 해골마왕의 장난감이에요. 한번 부숴보실래요?”
“위대한 신들은 분수도 모르고 신에게 도전한 해골마왕의 모든 것을 환수하셨답니다.”

…없애자, 이 나라.
신들의 등골을 빼먹으며 없애버리자.",https://page.kakao.com/content/59193854?tab_type=about,나눔
이세계 흙수저 선원으로 살아남기,fantasy,필부지용,https://dn-img-page.kakao.com/download/resource?kid=bIuPnX/hzb7rRX0ES/VVjrUjPedK9phQBfB9eY6k&filename=th3,"오, 나도 환생을 했다! 이번 생은 내가 주인공!
은 개뿔...

어느 세상이나 암울한 흙수저의 현실은 똑같다.
하지만 지금은 모험과 개척의 대항해시대!
이렇게 포기하기에는 아깝잖아?
비록 선원에서 시작하지만, 난 인생 2회차다!
게다가 잊을만 하면 한 번씩 나타나는 전생의 물건들!
이 정도면 주인공 버프 맞지?
이번 생은 나도 주인공 한 번 해보자!",https://page.kakao.com/content/58342596?tab_type=about,나눔
전설급 영웅은 아카데미 우등생,fantasy,예로나,https://dn-img-page.kakao.com/download/resource?kid=dWKb9/hyORTQP2cR/bQkKEj356zjon5Eol8AqL1&filename=th3,"세계를 멸망 직전까지 몰아넣었던 태초의 악 에레보스에 맞선 다섯 영웅이 있었다.

[용자] 아르온.
[신의 대장장이] 드웨노.
[성운의 시조] 루나.
[지혜의 왕] 리시나스.
마지막으로 나 [시작의 영웅] 카일.

환생하고 보니 대영웅이라고 칭송 받고 있었다.

""나만 빼고.""

영웅의 업적을 기록한다는 신이 내린 선물
히어로 레코드가 있는 영웅 사관 학교.
그곳에 입학해서 그 이유를 알아 보자.

""까짓거 가서 우등생좀 되어 보지 뭐.""",https://page.kakao.com/content/58819634?tab_type=about,나눔
